201,583,3,둔전,Dunjeon,Yongin Everline,Y125,전대.에버랜드,Jeondae Everland,Yongin Everline,Y126
202,506,1,둔촌동,Dunchon-dong,LINE 5,P549,올림픽공원,Olympic Park,LINE 5,P550
203,610,1,둔촌오륜,Dunchon Oryun,LINE 9,937,중앙보훈병원,VHS Medical Center,LINE 9,938
204,483,1,등촌,Deungchon,LINE 9,909,염창,Yeomchang,LINE 9,910
205,211,8,디지털미디어시티,Digital Media City,Airport Railroad Line,A04,마곡나루,Magongnaru,Airport Railroad Line,A042
205,387,1,디지털미디어시티,Digital Media City,Gyeongui-Jungang Line,K316,수색,Susaek,Gyeongui-Jungang Line,K317
205,535,1,디지털미디어시티,Digital Media City,LINE 6,618,월드컵경기장,World Cup Stadium,LINE 6,619
208,364,1,뚝섬,Ttukseom,LINE 2,210,성수,Seongsu,LINE 2,211
209,634,2,뚝섬유원지,Ttukseom Park,LINE 7,728,청담,Cheongdam,LINE 7,729
210,254,1,마곡,Magok,LINE 5,514,발산,Balsan,LINE 5,515
211,114,2,마곡나루,Magongnaru,Airport Railroad Line,A042,김포공항,Gimpo Intl. Airport,Airport Railroad Line,A05
211,466,1,마곡나루,Magongnaru,LINE 9,905,양천향교,Yangcheon Hyanggyo,LINE 9,906
213,261,1,마두,Madu,LINE 3,312,백석,Baekseok,LINE 3,313
214,134,1,마들,Madeul,LINE 7,712,노원,Nowon,LINE 7,713
215,156,7,마석,Maseok,Gyuongchun Line,P130,대성리,Daeseong-ri,Gyuongchun Line,P131
216,144,1,마장,Majang,LINE 5,541,답십리,Dapsimni,LINE 5,542
217,508,1,마전,Majeon,Incheon Line2,I204,완정,Wanjeong,Incheon Line2,I205
219,61,1,마포,Mapo,LINE 5,528,공덕,Gongdeok,LINE 5,529
220,224,1,마포구청,Mapo-gu Office,LINE 6,620,망원,Mangwon,LINE 6,621
221,122,1,만수,Mansu,Incheon Line2,I224,남동구청,Namdong-gu Office,Incheon Line2,I225
222,408,2,망우,Mangu,Gyuongchun Line,P121,신내,Sinnae,Gyuongchun Line,P122
222,459,2,망우,Mangu,Gyeongui-Jungang Line,K121,양원,Yangwon,Gyeongui-Jungang Line,K122
224,678,1,망원,Mangwon,LINE 6,621,합정,Hapjeong,LINE 6,622
225,170,2,망월사,Mangwolsa,LINE 1,112,도봉산,Dobongsan,LINE 1,113
226,229,2,망포,Mangpo,Bundang Line,K241,매탄권선,MaetanGwonseon,Bundang Line,K242
227,390,2,매교,Maegyo,Bundang Line,K244,수원,Suwon,Bundang Line,K245
228,165,1,매봉,Maebong,LINE 3,343,도곡,Dogok,LINE 3,344
229,392,1,매탄권선,MaetanGwonseon,Bundang Line,K242,수원시청,Suwon City Hall,Bundang Line,K243
230,611,1,먹골,Meokgol,LINE 7,718,중화,Junghwa,LINE 7,719
231,296,1,면목,Myeonmok,LINE 7,721,사가정,Sagajeong,LINE 7,722
232,699,1,명동,Myeong-dong,LINE 4,424,회현,Hoehyeon,LINE 4,425
233,51,1,명일,Myeongil,LINE 5,551,고덕,Godeok,LINE 5,552
234,112,1,명지대,Myongji Univ.,Yongin Everline,Y118,김량장,Gimnyangjang,Yongin Everline,Y119
235,103,1,명학,Myeonghak,LINE 1,P148,금정,Geumjeong,LINE 1,P149
236,455,2,모란,Moran,Bundang Line,K225,야탑,Yatap,Bundang Line,K226
238,221,1,모래내시장,Moraenae Market,Incheon Line2,I223,만수,Mansu,Incheon Line2,I224
239,495,1,목동,Mok-dong,LINE 5,520,오목교,Omokgyo,LINE 5,521
