288,부평구청,Bupyeong-gu Office,LINE 7,759,438020,1112972,37.508336,126.720548
290,부평삼거리,Bupyeongsamgeori,Incheon Line1,I122,435765,1104420,37.477679,126.710208
291,부평시장,Bupyeong Market,Incheon Line1,I119,438337,1110062,37.498383,126.722244
292,북한산보국문,Bukhansan Bogungmun,Ui Lrt Line,949,,,37.612103,127.008257
293,북한산우이,Bukhansan Ui,Ui Lrt Line,941,,,37.662773,127.01279
294,불광,Bulgwang,LINE 3,322,484337,1140982,37.610469,126.929887
294,불광,Bulgwang,LINE 6,612,484337,1140982,37.610469,126.929887
296,사가정,Sagajeong,LINE 7,722,519355,1132955,37.580894,127.088478
297,사당,Sadang,LINE 2,226,495760,1104005,37.47653,126.981685
297,사당,Sadang,LINE 4,433,495760,1104005,37.47653,126.981685
299,사릉,Sareung,Gyuongchun Line,P126,538877,1152465,37.65108,127.176933
300,사평,Sapyeong,LINE 9,924,503232,1111740,37.504206,127.015259
301,산본,Sanbon,LINE 4,444,484987,1071127,37.358101,126.933274
302,산성,Sanseong,LINE 8,821,532892,1098445,37.457122,127.149908
303,삼가,Samga,Yongin Everline,Y116,537300,1039000,37.242115,127.168075
304,삼각지,Samgakji,LINE 4,428,493970,1120167,37.534777,126.97311
304,삼각지,Samgakji,LINE 6,628,493970,1120167,37.534777,126.97311
306,삼동,Samdong,Gyeonggang Line,K412,,,37.409522,127.20336
307,삼산체육관,Samsan Gymnasium,LINE 7,757,442720,1112472,37.506411,126.742153
308,삼성,Samseong,LINE 2,219,513737,1113012,37.508844,127.06316
309,삼성중앙,Samseong Jungang,LINE 9,928,511392,1113890,37.513011,127.053282
310,삼송,Samsong,LINE 3,318,476770,1153035,37.653083,126.895558
311,삼양,Samyang,Ui Lrt Line,946,,,37.62694,127.018174
312,삼양사거리,Samyang Sageori,Ui Lrt Line,947,,,37.621366,127.020475
313,삼전,Samjeon,LINE 9,931,,,37.503933,127.089247
314,상갈,Sanggal,Bundang Line,K238,524100,1044500,37.26181,127.108847
315,상계,Sanggye,LINE 4,410,515995,1155000,37.660878,127.073572
316,상도,Sangdo,LINE 7,739,488362,1111262,37.502834,126.94791
